Ion N,Azm,Elv,KE,TOF,X,Y,Z,KE
initial,initial,initial,initial,final,final,final,final,final
294,0,0.0,2281.56,0.0190122,406.7,0.0,0,1384.35
295,0,0.0,2317.38,0.0187431,406.7,0.0,0,1420.17
296,0,0.0,2049.93,0.0211124,406.7,0.0,0,1152.72
297,0,0.0,2340.23,0.0185776,406.7,0.0,0,1443.02
298,0,0.0,1781.49,0.0248485,406.7,0.0,0,884.275
299,0,0.0,1993.05,0.0217534,406.7,0.0,0,1095.84
300,0,0.0,1936.11,0.0224626,406.7,0.0,0,1038.89
301,0,0.0,1622.44,0.0284589,406.7,0.0,0,725.225
302,0,0.0,2071.1,0.0208889,406.7,0.0,0,1173.88
303,0,0.0,1439.84,0.0361201,406.7,0.0,0,542.626
304,0,0.0,1676.35,0.0270477,406.7,0.0,0,779.133
305,0,0.0,1477.71,0.0339624,406.7,0.0,0,580.494
306,0,0.0,1323.2,0.0477725,406.7,0.0,0,425.985
307,0,0.0,2291.23,0.0189383,406.7,0.0,0,1394.02
308,0,0.0,1313.9,0.0493728,406.7,0.0,0,416.683
309,0,0.0,1945.66,0.0223384,406.7,0.0,0,1048.45
310,0,0.0,1911.2,0.0227973,406.7,0.0,0,1013.99
311,0,0.0,1351.18,0.0438405,406.7,0.0,0,453.964
312,0,0.0,1664.52,0.0273375,406.7,0.0,0,767.304
313,0,0.0,2295.3,0.0189076,406.7,0.0,0,1398.08
314,0,0.0,1479.24,0.0338837,406.7,0.0,0,582.032
315,0,0.0,1933.1,0.0225022,406.7,0.0,0,1035.89
316,0,0.0,2250.43,0.0192563,406.7,0.0,0,1353.22
317,0,0.0,1372.75,0.0414541,406.7,0.0,0,475.535
318,0,0.0,2249.56,0.0192633,406.7,0.0,0,1352.34
319,0,0.0,1688.06,0.0267702,406.7,0.0,0,790.852
320,0,0.0,1365.17,0.0422421,406.7,0.0,0,467.954
321,0,0.0,2357.59,0.0184549,406.7,0.0,0,1460.38
322,0,0.0,2303.87,0.0188432,406.7,0.0,0,1406.65
323,0,0.0,2110.65,0.0204908,406.7,0.0,0,1213.44
324,0,0.0,1906.04,0.0228687,406.7,0.0,0,1008.83
325,0,0.0,1414.83,0.0378297,406.7,0.0,0,517.613
326,0,0.0,1576.33,0.0298828,406.7,0.0,0,679.117
327,0,0.0,1509.6,0.0324442,406.7,0.0,0,612.392
328,0,0.0,2012.02,0.0215327,406.7,0.0,0,1114.81
329,0,0.0,1531.06,0.0315416,406.7,0.0,0,633.852
330,0,0.0,1896.19,0.023007,406.7,0.0,0,998.976
331,0,0.0,2231.03,0.0194136,406.7,0.0,0,1333.81
332,0,0.0,1744.94,0.0255453,406.7,0.0,0,847.726
333,0,0.0,2221.39,0.0194933,406.7,0.0,0,1324.18
